Gene	log2FC	p_value
7780	-13.5465	0.4950
105376910	18.2384	0.2722
84676	16.9753	0.2722
149420	-1.5927	0.0110
105376886	-16.7410	0.2277
79927	0.0000	nan
110806296	0.0000	nan
51042	0.3655	0.7505
10256	-1.4800	0.1461
378807	0.0000	nan
101928303	-1.8865	0.5219
64793	-0.4084	0.4836
83442	0.8937	0.3715
91544	-0.8054	0.0864
1043	0.0000	nan
55057	1.5451	0.4693
257101	-12.7329	0.4950
79727	0.0000	nan
79947	0.2922	0.2191
101928324	-0.9480	0.3239
3151	0.7953	0.1387
6195	0.6823	0.2385
100302190	0.0000	nan
105376888	15.8349	0.2722
101928728	0.1583	0.6856
8289	-0.9873	0.1428
55650	-0.4658	0.5159
84243	-1.1786	0.0977
2810	2.0477	0.3506
54707	-0.8674	0.0758
63906	0.0760	0.9411
10726	0.0903	0.8051
8431	16.5739	0.2722
126695	2.6930	0.3428
388610	0.5873	0.3937
115572	-0.8651	0.3360
101928391	-14.9035	0.4950
6548	-0.9507	0.1047
102723760	0.7110	0.7437
105376890	18.2419	0.2722
23038	-1.4716	0.0026
84065	-0.4580	0.5817
644961	-2.5787	0.0229
84958	-15.5169	0.2728
9064	-1.0237	0.2281
8547	-0.6681	0.5418
388611	0.0000	nan
2827	0.8835	0.6039
10163	-0.3894	0.4272
105376892	15.6000	0.2722
27245	-2.9149	0.1010
2268	-4.3565	0.2651
111216282	2.2553	0.3723
2537	3.4044	0.3023
199870	-0.1049	0.8290
23673	-0.2978	0.6679
5511	-0.8566	0.0001
677774	2.2163	0.3698
9473	1.7102	0.3896
6118	-0.7395	0.1210
27293	-15.2257	0.0007
55113	-0.8484	0.2953
2140	0.0844	0.7347
5724	-3.7279	0.0113
22826	0.3149	0.5457
93974	0.0729	0.8713
83667	-0.2420	0.8391
54797	-0.6509	0.4114
65979	-0.0399	0.9664
1104	-0.2564	0.7330
8420	2.1828	0.3516
6080	-1.1929	0.2535
26768	-0.0168	0.9843
54952	-0.0424	0.9318
85028	-1.4014	0.1633
692212	-23.1805	0.0272
677838	-0.3774	0.6938
677825	-1.4304	0.2077
692073	-0.9631	0.2663
115273	-0.5699	0.0942
6883	0.4764	0.5886
105378616	-0.8040	0.1431
26824	-17.7809	0.2192
10691	-0.0331	0.7915
51441	-0.5761	0.0400
4985	0.4387	0.7678
2035	-1.0883	0.0375
399474	-1.3513	0.0195
6429	-0.4437	0.1814
51102	0.1927	0.7591
10076	-1.9664	0.1746
101928460	-12.7713	0.4950
107984933	0.0000	nan
107984934	0.0000	nan
101929406	0.0000	nan
105378617	0.0000	nan
105378618	0.0000	nan
4146	-18.4266	0.0055
100129196	-3.6655	0.0116
7805	-4.9105	0.2947
100616164	0.0000	nan
105378620	-11.0320	0.4950
105378621	0.0000	nan
105378622	-0.1492	0.6248
400748	-15.3877	0.1897
9672	-1.4324	0.1612
9698	-0.2337	0.7774
692234	-2.9787	0.0561
692235	-2.7373	0.0345
692200	0.0000	nan
107984935	-16.2979	0.4950
79570	0.1790	0.8980
9410	0.2634	0.7740
51538	0.4747	0.4533
2170	1.6802	0.4431
105378623	16.6031	0.2722
107985470	0.0000	nan
347735	0.7479	0.5294
105378625	0.0000	nan
105379772	0.0000	nan
149086	0.0000	nan
284551	0.0000	nan
105378626	-17.4394	0.4583
64129	-3.8123	0.3182
3061	0.4868	0.7068
553115	0.2964	0.7511
107985471	-2.5082	0.0187
105378628	-0.9621	0.3114
1307	-2.1910	0.0141
101929444	-4.3062	0.0296
576	-1.7353	0.0699
100423028	0.0000	nan
90853	0.2320	0.7047
8073	0.8207	0.3078
10657	0.9433	0.4903
55116	-0.6610	0.1311
100847018	0.0000	nan
23633	-0.2927	0.2285
200081	-0.4054	0.1889
79140	0.4967	0.6332
56063	-0.5671	0.3063
55721	-0.6707	0.0571
149069	-2.0298	0.0143
8668	0.7278	0.1805
339483	-3.3625	0.0974
84734	-1.7548	0.3734
3932	14.5952	0.2722
3065	-0.7223	0.0216
65108	-0.5184	0.3434
105378629	-17.8452	0.0028
81629	-1.8131	0.0476
100128071	-2.0421	0.0010
55108	-1.1998	0.0538
728116	1.2557	0.1670
653121	-0.0502	0.9504
102723870	-19.9547	0.0223
339487	0.0837	0.8634
5928	-0.1964	0.6576
81493	-0.0239	0.9578
57648	-2.0755	0.0319
8565	-0.2677	0.7297
64766	-0.9500	0.0374
252995	-1.2917	0.1086
105378631	-17.0852	0.3086
3208	-3.7008	0.1163
113452	0.3261	0.7569
105378632	2.3889	0.3785
127544	0.1684	0.7189
204	0.1880	0.3516
105378635	0.0000	nan
113451	-1.9678	0.0158
112268224	-15.7136	0.2261
55223	-1.1687	0.0113
149076	-0.6310	0.1998
127550	0.4600	0.7584
1912	-0.9377	0.1698
100500853	-0.6996	0.1888
101929464	0.8927	0.6299
7579	-0.6983	0.0438
114784	2.3746	0.2474
105378638	0.0000	nan
127540	-12.6463	0.4950
402779	0.0000	nan
84970	16.2512	0.2722
105378639	0.0000	nan
105378640	0.0000	nan
105378641	0.0000	nan
693137	0.0000	nan
105378642	1.3529	0.4813
2709	-14.7930	0.4950
127534	-13.0775	0.4950
2707	-14.4846	0.3033
2701	-12.8773	0.4950
113444	0.0676	0.8587
58512	-14.1307	0.0451
653160	-2.2029	0.0076
100506144	0.0346	0.9519
9204	-0.2714	0.7646
79830	-0.1480	0.8821
105378644	4.7283	0.2874
6421	-0.2575	0.7006
9202	-0.4448	0.0399
100861513	-0.6413	0.3582
79932	-1.2857	0.0198
23154	-0.7583	0.1176
339488	-2.8491	0.0252
105378645	0.1823	0.8517
5690	0.6913	0.4066
105378646	0.0000	nan
127703	-1.4466	0.0433
63967	2.7827	0.2488
192670	-1.5013	0.0150
26523	-0.4181	0.1325
192669	-0.4030	0.4975
105378647	-16.6016	0.3066
27285	0.3237	0.8064
54936	-0.7583	0.2859
1296	-2.8843	0.1882
27095	0.3753	0.4270
55700	-1.0966	0.1314
9967	-0.4293	0.0918
79729	-1.9343	0.0158
55194	-0.6210	0.4825
83931	-1.0772	0.0726
84967	-1.4124	0.0114
127700	-0.1935	0.7655
109616970	-20.0085	0.1418
107984940	-2.5255	0.3686
64960	1.0326	0.1601
1441	-14.8152	0.2315
107984941	0.0000	nan
105378648	0.0000	nan
2899	0.0000	nan
100422898	0.0000	nan
107984942	-13.5461	0.4950
728431	-1.5473	0.2594
80149	0.4521	0.6949
102465438	-19.5418	0.2754
64769	-0.8072	0.0707
100847010	-1.8669	0.0884
105378649	-0.6726	0.1293
79753	-0.6664	0.0481
7802	-0.9317	0.2566
29889	0.3823	0.0200
284654	-1.5661	0.3179
54955	-1.0868	0.0060
55143	2.0612	0.2123
284656	-0.4293	0.8080
105378650	16.6883	0.2722
149175	-1.6370	0.1281
79693	-0.2202	0.4254
127687	-0.8314	0.1345
4520	-0.9282	0.1584
3633	-0.6825	0.1070
105378651	-2.5576	0.0567
10946	-0.0235	0.9443
2275	-0.3131	0.4196
51118	-0.2432	0.4521
5453	4.1965	0.2959
107985103	-13.8119	0.2192
105378653	-16.0249	0.2280
100500801	0.0000	nan
105378655	0.0000	nan
105378654	0.0000	nan
339442	0.0000	nan
105378657	0.0000	nan
107984943	0.0000	nan
105378656	0.0000	nan
105378658	0.0000	nan
105378660	0.0000	nan
64121	0.0324	0.9678
100527950	0.4644	0.6950
26292	0.5123	0.6698
105378663	-2.1189	0.0678
81025	-1.1653	0.4463
54933	0.0060	0.9970
105378662	-1.0213	0.1735
79647	-0.3024	0.6163
4725	0.7976	0.5092
23499	-1.0222	0.3208
643314	-1.7629	0.3327
105378950	0.0000	nan
353500	-1.5574	0.0345
192217	-0.0030	0.9954
728448	-1.3183	0.0457
8761	-0.0321	0.9453
101929516	-0.5062	0.2052
677834	-2.5955	0.1460
26508	0.1466	0.8731
84618	0.0000	nan
51440	1.9585	0.4298
10450	-0.8269	0.1265
656	-0.6557	0.3979
64064	-0.6635	0.2801
105378666	0.0000	nan
101929536	0.0000	nan
105378951	2.9737	0.3358
107985740	15.0567	0.2722
105378665	0.0000	nan
105378667	3.6647	0.3059
54802	-0.8154	0.0238
4610	-16.3217	0.0348
105378668	-18.4196	0.1134
84879	0.0438	0.9491
105378669	3.0849	0.0163
10487	0.4631	0.1178
5538	0.8380	0.1676
105378671	0.0000	nan
6018	-0.5679	0.3723
127391	-14.4323	0.4950
10269	0.5735	0.6378
1298	1.1114	0.5017
107984945	0.0000	nan
64744	0.1710	0.5016
65243	1.7138	0.3205
339559	-0.1752	0.7620
105378672	-2.7068	0.0373
64789	-0.3043	0.0574
127396	-0.3495	0.6413
105378673	-16.2357	0.2192
9783	-3.0838	0.1741
105378675	0.0000	nan
105378674	17.8250	0.2722
100130557	-0.1824	0.7924
4802	0.3464	0.3261
407034	0.0000	nan
407031	0.0000	nan
9132	-15.8216	0.0939
105378676	0.0000	nan
163732	-1.1374	0.6418
1503	0.0661	0.8442
100507178	-0.4250	0.3259
200172	-2.8321	0.0631
22955	-0.3368	0.2243
100132074	-3.6779	0.0591
101929901	-1.8506	0.4159
105378678	-0.0973	0.9553
1907	-14.7164	0.4950
59269	0.1619	0.9125
2981	0.0000	nan
2980	0.0000	nan
22887	-0.5434	0.2647
284716	-0.6687	0.5413
84217	-1.1655	0.1957
728621	-0.2681	0.4136
79717	-0.6840	0.0932
10465	-0.1129	0.5448
4904	1.5304	0.0047
149461	0.1204	0.9441
64175	0.2372	0.3586
79078	-0.9485	0.0697
105378683	-0.6286	0.5394
100129924	-1.3150	0.2623
107984946	-2.5375	0.1367
374969	-0.0232	0.9424
114625	-0.7964	0.0218
51058	-0.5827	0.2958
339539	0.0000	nan
6513	-1.4125	0.2565
440584	-2.4946	0.2779
440585	-2.1333	0.1935
10969	1.4248	0.0069
102465439	-21.1817	0.0092
149465	-1.9785	0.0978
105378685	-1.4596	0.4816
128218	0.0000	nan
149466	0.0000	nan
7075	2.2214	0.3855
4352	-0.6823	0.3888
105378687	-2.5280	0.0199
991	3.1931	0.0229
64834	-0.2086	0.4228
102466723	-2.1890	0.0176
112268225	0.5999	0.6593
112950	0.2210	0.7246
107984947	0.9521	0.0846
23334	-1.8406	0.0250
100873952	-3.2412	0.0057
102465440	0.0000	nan
81888	-0.5065	0.2008
5792	-1.7541	0.1089
9682	-1.1352	0.0347
100132774	-0.2850	0.5570
6487	-0.7617	0.3133
101929592	3.0724	0.1586
102464830	0.0000	nan
9048	-2.2313	0.0470
105378688	-0.3470	0.7498
101929609	-1.8130	0.0964
9670	-0.3567	0.5026
1802	-0.6358	0.1503
533	-0.3775	0.3672
8704	-0.2394	0.7762
149473	-0.3088	0.6197
6536	-1.9556	0.0858
107984948	-0.0437	0.9597
128209	-0.8706	0.7336
105378952	13.9609	0.2722
55929	-0.3068	0.6453
79033	0.2638	0.8043
100874278	-3.7443	0.0004
106635545	-16.0854	0.4950
55182	-0.4960	0.1859
107984951	0.0000	nan
100847089	0.0000	nan
107984950	-0.5907	0.1230
79639	0.6499	0.1156
109623472	-18.2139	0.2192
339541	-3.6628	0.0093
105378690	-0.7513	0.4569
26828	-17.9998	0.2192
26830	0.0000	nan
11004	1.4192	0.0969
109623476	0.0000	nan
